,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,5.492 14.106 25.953 74.279,0,0,0,0,3.080 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
1,5.492 14.106 25.953 74.279,0,0,0,0,3.080 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1537,True,20.01272097486071,0.6866629464285714,57.44990091338455,0.7,12.0,0.4065934065934065,120.0,31.550310731677076,0.609375,0.8035714285714286,0.4129464285714286,0.45,
2,5.492 14.106 25.953 74.279,0,0,0,0,7.770 7.890 693.904 982.028,0,0,19.040 22.376 23.047 32.220,0,0,0,1849,True,19.796418892309234,0.6743861607142858,57.44990091338455,0.675,12.0,0.35359116022099457,120.0,35.1538618200332,0.625,0.7321428571428571,0.3571428571428572,0.25,
3,5.492 14.106 25.953 74.279,0,0,0,0,11.381 322.657 721.279 1333.261,0,0,13.798 22.874 31.734 32.220,0.710 0.880 45.960 82.757,0,0,1711,True,29.353884152875207,0.6628069196428572,76.59986788451273,0.6666666666666666,16.0,0.34497816593886454,120.0,52.65886616464673,0.53125,0.8214285714285714,0.3526785714285714,0.025,
4,5.492 14.106 25.953 74.279,0,0,0,0,115.689 424.933 624.457 1222.797,0,0,18.353 19.505 23.440 33.266,5.634 25.156 110.695 119.819,0,0,979,True,29.71052426199594,0.6838727678571428,76.59986788451273,0.6583333333333333,16.0,0.3365695792880259,120.0,44.058335737938194,0.4375,0.9107142857142857,0.3482142857142856,0.30000000000000004,
5,5.492 14.106 25.953 74.279,0,0,0,0,115.689 424.933 624.457 1222.797,0,0,18.353 19.505 23.440 33.266,5.634 25.156 110.695 119.819,0,0,979,True,29.71052426199594,0.6838727678571428,76.59986788451273,0.6583333333333333,16.0,0.3365695792880259,120.0,44.058335737938194,0.4375,0.9107142857142857,0.3482142857142856,0.30000000000000004,
6,5.492 14.106 25.953 74.279,0,0,0,0,3.080 5.625 377.219 1075.000,0,0,19.040 19.040 23.980 38.352,0,0,0,1729,True,19.39274786906621,0.6473214285714286,57.44990091338455,0.65,12.0,0.31072210065645517,120.0,43.01590756702437,0.53125,0.7857142857142857,0.3169642857142856,0.07500000000000001,
7,5.492 14.106 25.953 74.279,0,0,0,0,3.000 3.233 687.397 1075.000,0,0,0,0,0,0,1746,True,9.6287309467974,0.6413225446428571,38.29993394225637,0.65,8.0,0.31072210065645517,120.0,46.26025528404669,0.53125,0.7857142857142857,0.3169642857142856,0.05,
8,5.492 14.106 25.953 74.279,0,0,0,0,3.281 5.868 628.137 775.762,0,0,0,0.825 0.880 45.960 111.883,0,0,1706,True,19.248564259826583,0.6434151785714286,57.44990091338455,0.65,12.0,0.31072210065645517,120.0,46.23151901886904,0.53125,0.7857142857142857,0.3169642857142856,0.07500000000000001,
9,5.492 14.106 25.953 74.279,0,0,0,0,3.000 49.966 112.924 1075.000,0,0,19.040 23.618 25.681 32.220,0,0,0,1749,True,19.267997147277356,0.6534598214285714,57.44990091338455,0.6416666666666667,12.0,0.29661941112322804,120.0,45.78448835709869,0.5,0.8035714285714286,0.3035714285714286,0.1,
10,5.492 14.106 25.953 74.279,0,0,0,0,3.000 49.966 112.924 1075.000,0,0,19.040 23.618 25.681 32.220,0,0,0,1749,True,19.267997147277356,0.6534598214285714,57.44990091338455,0.6416666666666667,12.0,0.29661941112322804,120.0,45.78448835709869,0.5,0.8035714285714286,0.3035714285714286,0.1,
11,5.492 14.106 25.953 74.279,0,0,0,0,3.000 49.966 112.924 1075.000,0,0,19.040 23.618 25.681 32.220,0,0,0,1859,True,19.683021789975836,0.6255580357142857,57.44990091338455,0.6333333333333333,12.0,0.2903225806451613,120.0,37.20462309280603,0.390625,0.9107142857142857,0.3013392857142856,0.55,
12,5.492 14.106 25.953 74.279,0,0,0,0,3.080 5.625 377.219 1075.000,0,0,19.040 27.003 27.082 30.244,0,0,0,1848,True,19.803796850942394,0.6568080357142857,57.44990091338455,0.6333333333333333,12.0,0.279475982532751,120.0,35.02441885388802,0.5,0.7857142857142857,0.2857142857142856,0.5,
