,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,0,0,0,70.872 207.922 300.980 453.399,0,0,0,0,22.702 25.694 26.094 29.742,0,0,0,2,False,9.204314766689276,0.5619419642857142,38.29993394225637,0.5833333333333334,8.0,0.17763157894736856,120.0,57.19641749991712,0.484375,0.6964285714285714,0.1808035714285714,0.05,
1,0,0,0,0,5.655 6.937 7.233 8.124,15.012 111.883 228.299 297.708,0.020 0.081 0.924 1.058,0,19.954 23.455 29.653 30.229,0,6.771 7.525 7.848 8.325,0.058 0.214 0.251 0.284,6,False,52.3658061576089,0.5574776785714286,114.8998018267691,0.5333333333333333,24.0,0.11392405063291129,120.0,62.35765223323601,0.15625,0.9642857142857143,0.12053571428571441,0.0,
2,0,0.813 2.086 19.092 24.739,1.290 3.719 16.965 35.203,82.289 100.173 139.026 245.424,3.324 4.823 8.373 9.252,0,0.032 0.081 0.499 0.699,0,0,0,0,0,36,False,40.382283791450654,0.4839564732142857,95.74983485564091,0.525,20.0,0.0875133404482391,120.0,57.47110769775726,0.234375,0.8571428571428571,0.0915178571428572,0.15000000000000002,
3,9.370 16.704 27.767 46.676,2.155 2.898 3.573 21.981,2.845 3.086 31.855 35.762,0,0,0,0,0,0,0,0,0.164 0.200 0.255 0.300,35,False,29.0738006063708,0.5390625,76.59986788451273,0.5083333333333333,16.0,0.07329842931937168,120.0,60.57464437376841,0.078125,1.0,0.078125,0.20000000000000004,
4,5.524 17.171 25.602 30.750,0,0,0,5.107 6.740 7.817 8.144,134.469 149.242 356.424 665.468,0.034 0.067 0.472 0.819,0.269 0.285 0.384 0.881,19.807 25.554 25.569 29.777,0.557 4.852 47.797 57.825,7.216 7.569 8.460 8.723,0,25,False,80.02673931927845,0.5387834821428572,153.19973576902547,0.5083333333333333,32.0,0.06940063091482643,120.0,61.84067842342178,0.109375,0.9642857142857143,0.07366071428571441,0.05000000000000001,
5,0,0,1.188 2.878 31.834 51.821,0,0,0,0.029 0.048 0.236 0.258,0,19.067 24.544 25.442 30.395,1.186 1.940 42.645 65.311,0,0,34,False,29.304153252058807,0.4986049107142857,76.59986788451273,0.5166666666666667,16.0,0.0665236051502147,120.0,53.98466760461481,0.265625,0.8035714285714286,0.0691964285714286,0.30000000000000004,
6,14.743 17.685 22.375 37.695,0.909 1.673 11.757 14.602,1.220 3.102 6.233 6.736,0,3.904 4.338 6.796 7.798,0,0,0,19.865 21.778 26.647 29.375,0,7.439 7.558 7.848 8.324,0.087 0.100 0.457 0.989,42,False,65.6117252641157,0.5228794642857142,134.0497687978973,0.5,28.0,0.058577405857740544,120.0,61.38799476398574,0.0625,1.0,0.0625,0.30000000000000004,
7,0,0,0.984 3.301 13.325 20.103,52.445 193.283 406.845 612.637,6.410 7.594 8.653 10.365,57.893 163.097 638.180 978.094,0.046 0.060 0.175 0.734,0.241 0.279 0.540 0.911,0,0.835 3.119 63.262 85.230,6.712 7.202 7.754 8.074,0,3,False,80.0143074811279,0.4701450892857143,153.19973576902547,0.5,32.0,0.05660377358490571,120.0,62.226272244519734,0.078125,0.9821428571428571,0.060267857142857206,0.2,
8,0,0,1.548 3.430 14.228 47.085,49.313 89.548 129.972 195.163,0,35.791 101.067 667.188 866.072,0.040 0.074 0.467 0.703,0,0,0,0,0.008 0.137 0.262 0.908,33,False,40.32794422874982,0.5033482142857143,95.74983485564091,0.5,20.0,0.052631578947368446,120.0,59.05399105308893,0.109375,0.9464285714285714,0.0558035714285714,0.2,
9,17.120 18.454 18.518 23.647,0,0,0,2.275 5.036 6.967 10.021,15.746 43.898 211.281 850.366,0.053 0.077 0.306 0.727,0,0,0,7.123 7.612 7.699 8.762,0,12,False,40.18421035408382,0.5234375,95.74983485564091,0.49166666666666664,20.0,0.04388714733542316,120.0,63.45424312090164,0.046875,1.0,0.046875,0.025,
