,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
1,0,1.701 1.832 3.977 6.232,1.726 2.687 4.258 55.840,0,0,3.000 23.788 42.188 903.349,0.028 0.073 0.768 1.484,0.230 0.543 0.620 0.941,22.244 24.174 26.433 27.356,0.815 2.087 79.759 82.496,0,0,783,True,65.82122741639422,0.6616908482142857,134.0497687978973,0.65,28.0,0.32403433476394855,120.0,55.28287659288136,0.390625,0.9464285714285714,0.3370535714285714,0.0,
2,3.057 10.696 14.126 72.426,0,0,0,0,3.000 27.027 201.560 903.349,0.029 0.082 1.171 1.230,0,13.307 24.174 26.433 27.356,0,0,0,686,True,29.609649981875748,0.6524832589285714,76.59986788451273,0.65,16.0,0.30155210643015534,120.0,46.3375064693828,0.625,0.6785714285714286,0.3035714285714286,0.05,
3,3.057 10.696 14.126 72.426,0,0,0,0,3.000 27.027 201.560 903.349,0.029 0.082 1.171 1.230,0,13.307 24.174 26.433 27.356,0,0,0,686,True,29.609649981875748,0.6524832589285714,76.59986788451273,0.65,16.0,0.30155210643015534,120.0,46.3375064693828,0.625,0.6785714285714286,0.3035714285714286,0.05,
4,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
5,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
6,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
7,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
8,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
9,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0.296 8.426 39.319 41.362,0,0,80.020 103.208 755.659 903.349,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
10,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0,0,0,0,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
11,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0,0,0,0,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
12,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0,0,0,0,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
13,3.057 10.696 14.126 72.426,4.633 9.924 15.039 17.939,0,0,0,0,0.055 0.073 1.239 1.790,0.156 0.543 0.620 1.190,21.426 21.760 26.433 28.628,0,0,0,720,True,40.51227476494082,0.6413225446428572,95.74983485564091,0.6333333333333333,20.0,0.27472527472527464,120.0,53.85454816658276,0.546875,0.7321428571428571,0.2790178571428572,0.0,
