,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
1,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
2,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
3,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
4,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
5,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
6,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
7,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,17.239 17.307 28.818 66.176,0,0,49.631 140.636 224.199 1288.313,0.667 0.891 1.186 1.586,0.152 0.158 1.183 1.372,14.968 21.760 26.545 28.628,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
8,0,0,0,0,0,4.473 140.126 329.129 1075.000,0.016 0.138 0.734 1.473,0,22.112 23.488 24.364 32.220,0,0,0,1515,True,18.980140003779617,0.5864955357142857,57.44990091338455,0.625,12.0,0.21965317919075136,120.0,52.87200133108882,0.890625,0.32142857142857145,0.2120535714285714,0.0,
9,0,0,0,0,0,4.473 140.126 329.129 1075.000,0.016 0.138 0.734 1.473,0,19.040 20.757 27.764 32.220,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
10,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
11,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
12,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
13,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
14,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
15,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,968,True,29.240127698574643,0.5474330357142857,76.59986788451273,0.5916666666666667,16.0,0.1750841750841751,120.0,55.74082650145687,0.65625,0.5178571428571429,0.1741071428571428,0.0,
16,0,2.452 2.950 13.081 19.644,0,0,0,0,0.029 0.138 0.734 0.854,0,19.956 23.716 25.853 32.220,0,0,0,1501,True,18.87143406067873,0.5089285714285714,57.44990091338455,0.5333333333333333,12.0,0.11392405063291129,120.0,55.82528455013204,0.15625,0.9642857142857143,0.12053571428571441,0.6000000000000001,
17,12.457 38.615 41.396 87.196,0,0,0,0,56.181 103.208 171.874 172.168,0,0,20.422 23.642 27.171 42.774,0,0,0,1253,True,18.716673506052807,0.5421316964285715,57.44990091338455,0.5166666666666667,12.0,0.08227848101265824,120.0,60.316588910426844,0.140625,0.9464285714285714,0.0870535714285714,0.15000000000000002,
18,12.457 38.615 41.396 87.196,0,0,0,0,56.181 103.208 171.874 172.168,0,0,20.422 23.642 27.171 42.774,0,0,0,1253,True,18.716673506052807,0.5421316964285715,57.44990091338455,0.5166666666666667,12.0,0.08227848101265824,120.0,60.316588910426844,0.140625,0.9464285714285714,0.0870535714285714,0.15000000000000002,
19,0,0,0,0,0,0,0.027 0.138 0.734 1.230,0,19.040 23.690 29.089 32.220,0,0,0,1465,True,9.298895852036235,0.5128348214285714,38.29993394225637,0.5583333333333333,8.0,0.08725602755453511,120.0,54.55452840262126,0.78125,0.30357142857142855,0.0848214285714286,0.0,
20,12.457 38.615 41.396 87.196,0,0,0,0,0,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,1451,True,18.62625876270795,0.5294363839285714,57.44990091338455,0.5,12.0,0.05660377358490571,120.0,63.105917437828566,0.078125,0.9821428571428571,0.060267857142857206,0.025,
21,0,0,0,0,0,4.473 140.126 329.129 1075.000,0.016 0.138 0.734 1.473,0,19.040 20.757 27.764 32.220,3.092 4.591 21.768 53.717,0,0,1507,True,29.165630855729102,0.462890625,76.59986788451273,0.5083333333333333,16.0,0.05750798722044722,120.0,57.856237580069134,0.203125,0.8571428571428571,0.060267857142857206,0.15000000000000002,
22,12.457 38.615 41.396 87.196,2.392 10.089 15.809 28.116,0,83.130 257.220 270.772 281.618,0,48.799 195.988 244.761 461.909,0.034 0.060 0.726 0.804,0,19.040 20.969 31.932 32.220,0,0,0,1460,True,52.337902080159864,0.5149274553571429,114.8998018267691,0.49166666666666664,24.0,0.04388714733542316,120.0,63.23376618793811,0.046875,1.0,0.046875,0.1,
23,12.457 38.615 41.396 87.196,0,0,0,0,122.174 140.937 327.494 440.090,0.087 0.394 0.734 1.681,0,13.064 14.793 40.953 42.261,0,0,0,1513,True,28.969581451664464,0.5234375,76.59986788451273,0.49166666666666664,16.0,0.04388714733542316,120.0,63.814853274311005,0.046875,1.0,0.046875,0.0,
24,0,4.147 4.565 11.907 22.081,2.698 3.269 27.218 43.467,0,0,4.473 140.126 329.129 1075.000,0.016 0.138 0.734 1.473,0,19.040 20.757 27.764 32.220,0,6.772 7.600 8.403 8.504,0,1514,True,52.38056621863464,0.521484375,114.8998018267691,0.49166666666666664,24.0,0.04388714733542316,120.0,61.89914483737286,0.046875,1.0,0.046875,0.17500000000000002,
