,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
0,0,679191,9961529,-100000000000000.0,Baetidae,0.002101108556365014,1.0,679191,9961529,-100000000000000.0,1,0.002101108556365014,1
12,1,650382,9814851,-100000000000000.0,Baetidae,1.0,1.0,650382,9814851,-100000000000000.0,3,1.0,1
24,2,679454,9970238,-100000000000000.0,Baetidae,0.006073184720996886,1.0,679454,9970238,-100000000000000.0,3,0.006073184720996886,1
36,3,698343,9826923,-100000000000000.0,Baetidae,0.0,1.0,698343,9826923,-100000000000000.0,5,0.0,1
48,4,662025,9811606,-100000000000000.0,Baetidae,1.0,1.0,662025,9811606,-100000000000000.0,8,1.0,1
60,5,679191,9961529,-100000000000000.0,Baetidae,0.002101108556365014,1.0,679191,9961529,-100000000000000.0,1,0.002101108556365014,1
72,6,642033,9886348,-100000000000000.0,Baetidae,0.4006677777872308,1.0,642033,9886348,-100000000000000.0,7,0.4006677777872308,1
84,7,685948,9764845,-100000000000000.0,Baetidae,0.6172006253436402,1.0,685948,9764845,-100000000000000.0,1,0.6172006253436402,1
96,8,688300,9781411,-100000000000000.0,Baetidae,0.09521906667050453,1.0,688300,9781411,-100000000000000.0,4,0.09521906667050453,1
108,9,638001,9827048,-100000000000000.0,Baetidae,0.008946582885551908,1.0,638001,9827048,-100000000000000.0,1,0.008946582885551908,1
120,10,634440,9899731,-100000000000000.0,Baetidae,0.0018372796599646654,1.0,634440,9899731,-100000000000000.0,3,0.0018372796599646654,1
132,11,705744,9802662,-100000000000000.0,Baetidae,0.0017766660292035978,1.0,705744,9802662,-100000000000000.0,2,0.0017766660292035978,1
144,12,687108,9857931,-100000000000000.0,Baetidae,0.0023235288418602174,1.0,687108,9857931,-100000000000000.0,17,0.0023235288418602174,1
156,13,660135,9951898,-100000000000000.0,Baetidae,0.006140646102982786,1.0,660135,9951898,-100000000000000.0,1,0.006140646102982786,1
168,14,638001,9827048,-100000000000000.0,Baetidae,0.008946582885551908,1.0,638001,9827048,-100000000000000.0,1,0.008946582885551908,1
180,15,675727,9859882,-100000000000000.0,Baetidae,0.005553847319837353,1.0,675727,9859882,-100000000000000.0,1,0.005553847319837353,1
192,16,671143,9840716,-100000000000000.0,Baetidae,0.012810819144986793,1.0,671143,9840716,-100000000000000.0,62,0.012810819144986793,1
204,17,688228,9782851,-100000000000000.0,Baetidae,0.0029709686009413115,1.0,688228,9782851,-100000000000000.0,16,0.0029709686009413115,1
216,18,652784,9903098,-100000000000000.0,Baetidae,0.001038589436269911,1.0,652784,9903098,-100000000000000.0,15,0.001038589436269911,1
227,19,660727,9947422,-100000000000000.0,Baetidae,0.002423007418535111,1.0,660727,9947422,-100000000000000.0,1,0.002423007418535111,1
239,20,703765,9803864,-100000000000000.0,Baetidae,0.006349670368591115,1.0,703765,9803864,-100000000000000.0,2,0.006349670368591115,1
251,21,633405,9898770,-100000000000000.0,Baetidae,0.0035929102651623595,1.0,633405,9898770,-100000000000000.0,1,0.0035929102651623595,1
263,22,612711,9810720,-100000000000000.0,Baetidae,0.002172778995598624,1.0,612711,9810720,-100000000000000.0,1,0.002172778995598624,1
274,23,630387,9886688,-100000000000000.0,Baetidae,1.0,1.0,630387,9886688,-100000000000000.0,43,1.0,1
286,24,660135,9951898,-100000000000000.0,Baetidae,0.006140646102982786,1.0,660135,9951898,-100000000000000.0,1,0.006140646102982786,1
298,25,682196,9762955,-100000000000000.0,Baetidae,1.0,1.0,682196,9762955,-100000000000000.0,11,1.0,1
310,26,585079,9823896,-100000000000000.0,Baetidae,1.0,1.0,585079,9823896,-100000000000000.0,10,1.0,1
322,27,681018,9957318,-100000000000000.0,Baetidae,0.030399368968885683,1.0,681018,9957318,-100000000000000.0,3,0.030399368968885683,1
334,28,645126,9885371,-100000000000000.0,Baetidae,0.0015022846007432696,1.0,645126,9885371,-100000000000000.0,6,0.0015022846007432696,1
346,29,641521,9829716,-100000000000000.0,Baetidae,1.0,1.0,641521,9829716,-100000000000000.0,25,1.0,1
358,30,646789,9911341,-100000000000000.0,Baetidae,0.0014047793633552453,1.0,646789,9911341,-100000000000000.0,10,0.0014047793633552453,1
