,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
0,0,679191,9961529,-100000000000000.0,Baetidae,0.2475557511400011,1.0,679191,9961529,-100000000000000.0,1,0.2475557511400011,1
12,1,650382,9814851,-100000000000000.0,Baetidae,0.0843701520913658,1.0,650382,9814851,-100000000000000.0,3,0.0843701520913658,1
24,2,679454,9970238,-100000000000000.0,Baetidae,0.24445630790915912,1.0,679454,9970238,-100000000000000.0,3,0.24445630790915912,1
36,3,698343,9826923,-100000000000000.0,Baetidae,0.07625561054949063,1.0,698343,9826923,-100000000000000.0,5,0.07625561054949063,1
48,4,662025,9811606,-100000000000000.0,Baetidae,0.0,1.0,662025,9811606,-100000000000000.0,8,0.0,1
60,5,679191,9961529,-100000000000000.0,Baetidae,0.2475557511400011,1.0,679191,9961529,-100000000000000.0,1,0.2475557511400011,1
72,6,642033,9886348,-100000000000000.0,Baetidae,0.3902634475770999,1.0,642033,9886348,-100000000000000.0,7,0.3902634475770999,1
84,7,685948,9764845,-100000000000000.0,Baetidae,0.42300242383175457,1.0,685948,9764845,-100000000000000.0,1,0.42300242383175457,1
96,8,688300,9781411,-100000000000000.0,Baetidae,0.590872977937011,1.0,688300,9781411,-100000000000000.0,4,0.590872977937011,1
108,9,638001,9827048,-100000000000000.0,Baetidae,0.20418198316954722,1.0,638001,9827048,-100000000000000.0,1,0.20418198316954722,1
120,10,634440,9899731,-100000000000000.0,Baetidae,0.06012905717996257,1.0,634440,9899731,-100000000000000.0,3,0.06012905717996257,1
132,11,705744,9802662,-100000000000000.0,Baetidae,0.015902769313593842,1.0,705744,9802662,-100000000000000.0,2,0.015902769313593842,1
144,12,687108,9857931,-100000000000000.0,Baetidae,0.09518756767714937,1.0,687108,9857931,-100000000000000.0,17,0.09518756767714937,1
156,13,660135,9951898,-100000000000000.0,Baetidae,0.20704462230762835,1.0,660135,9951898,-100000000000000.0,1,0.20704462230762835,1
168,14,638001,9827048,-100000000000000.0,Baetidae,0.20418198316954722,1.0,638001,9827048,-100000000000000.0,1,0.20418198316954722,1
180,15,675727,9859882,-100000000000000.0,Baetidae,0.07213396972838207,1.0,675727,9859882,-100000000000000.0,1,0.07213396972838207,1
192,16,671143,9840716,-100000000000000.0,Baetidae,0.1149202882266538,1.0,671143,9840716,-100000000000000.0,62,0.1149202882266538,1
204,17,688228,9782851,-100000000000000.0,Baetidae,0.28960678490190916,1.0,688228,9782851,-100000000000000.0,16,0.28960678490190916,1
216,18,652784,9903098,-100000000000000.0,Baetidae,0.4300011821182257,1.0,652784,9903098,-100000000000000.0,15,0.4300011821182257,1
227,19,660727,9947422,-100000000000000.0,Baetidae,0.21925947975909751,1.0,660727,9947422,-100000000000000.0,1,0.21925947975909751,1
239,20,703765,9803864,-100000000000000.0,Baetidae,0.035044814447896616,1.0,703765,9803864,-100000000000000.0,2,0.035044814447896616,1
251,21,633405,9898770,-100000000000000.0,Baetidae,0.06547501555145828,1.0,633405,9898770,-100000000000000.0,1,0.06547501555145828,1
263,22,612711,9810720,-100000000000000.0,Baetidae,0.3948558405472561,1.0,612711,9810720,-100000000000000.0,1,0.3948558405472561,1
274,23,630387,9886688,-100000000000000.0,Baetidae,0.49327857688037224,1.0,630387,9886688,-100000000000000.0,43,0.49327857688037224,1
286,24,660135,9951898,-100000000000000.0,Baetidae,0.20704462230762835,1.0,660135,9951898,-100000000000000.0,1,0.20704462230762835,1
298,25,682196,9762955,-100000000000000.0,Baetidae,0.09432390249624951,1.0,682196,9762955,-100000000000000.0,11,0.09432390249624951,1
310,26,585079,9823896,-100000000000000.0,Baetidae,0.0,1.0,585079,9823896,-100000000000000.0,10,0.0,1
322,27,681018,9957318,-100000000000000.0,Baetidae,0.3518638865633647,1.0,681018,9957318,-100000000000000.0,3,0.3518638865633647,1
334,28,645126,9885371,-100000000000000.0,Baetidae,0.6601862484543396,1.0,645126,9885371,-100000000000000.0,6,0.6601862484543396,1
346,29,641521,9829716,-100000000000000.0,Baetidae,0.4808956153647654,1.0,641521,9829716,-100000000000000.0,25,0.4808956153647654,1
358,30,646789,9911341,-100000000000000.0,Baetidae,0.08883116170630811,1.0,646789,9911341,-100000000000000.0,10,0.08883116170630811,1
370,31,638001,9827048,-100000000000000.0,Baetidae,0.20418198316954722,1.0,638001,9827048,-100000000000000.0,1,0.20418198316954722,1
382,32,630387,9886688,-100000000000000.0,Baetidae,0.49327857688037224,1.0,630387,9886688,-100000000000000.0,43,0.49327857688037224,1
394,33,675727,9859882,-100000000000000.0,Baetidae,0.07213396972838207,1.0,675727,9859882,-100000000000000.0,1,0.07213396972838207,1
406,34,673369,9944638,-100000000000000.0,Baetidae,0.15330320988551108,1.0,673369,9944638,-100000000000000.0,2,0.15330320988551108,1
418,35,649233,9901117,-100000000000000.0,Baetidae,0.41315823739868834,1.0,649233,9901117,-100000000000000.0,2,0.41315823739868834,1
429,36,639402,9898006,-100000000000000.0,Baetidae,0.3400924019811502,1.0,639402,9898006,-100000000000000.0,14,0.3400924019811502,1
