,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
584,49,654406,9903081,-100000000000000.0,Baetidae,0.0,1.0,654406,9903081,-100000000000000.0,18,0.0,1
595,50,642033,9886348,-100000000000000.0,Baetidae,0.0,1.0,642033,9886348,-100000000000000.0,7,0.0,1
607,51,708507,9756366,-100000000000000.0,Baetidae,0.21681560736650543,1.0,708507,9756366,-100000000000000.0,3,0.21681560736650543,1
619,52,674793,9756336,-100000000000000.0,Baetidae,0.0,1.0,674793,9756336,-100000000000000.0,2,0.0,1
631,53,660727,9947422,-100000000000000.0,Baetidae,0.22186494371980117,1.0,660727,9947422,-100000000000000.0,1,0.22186494371980117,1
643,54,708507,9756366,-100000000000000.0,Baetidae,0.21681560736650543,1.0,708507,9756366,-100000000000000.0,3,0.21681560736650543,1
655,55,642033,9886348,-100000000000000.0,Baetidae,0.0,1.0,642033,9886348,-100000000000000.0,7,0.0,1
667,56,655786,9905816,-100000000000000.0,Baetidae,0.178019335809016,1.0,655786,9905816,-100000000000000.0,5,0.178019335809016,1
678,57,644904,9907968,-100000000000000.0,Baetidae,0.19037751849958387,1.0,644904,9907968,-100000000000000.0,1,0.19037751849958387,1
690,58,655325,9911206,-100000000000000.0,Baetidae,0.07223624649737753,1.0,655325,9911206,-100000000000000.0,1,0.07223624649737753,1
701,59,690578,9802304,-100000000000000.0,Baetidae,0.21038801544854002,1.0,690578,9802304,-100000000000000.0,2,0.21038801544854002,1
713,60,654406,9903081,-100000000000000.0,Baetidae,0.0,1.0,654406,9903081,-100000000000000.0,18,0.0,1
724,61,688300,9781411,-100000000000000.0,Baetidae,0.17106747976702733,1.0,688300,9781411,-100000000000000.0,4,0.17106747976702733,1
736,62,612711,9810720,-100000000000000.0,Baetidae,0.028724437049999295,1.0,612711,9810720,-100000000000000.0,1,0.028724437049999295,1
747,63,714146,9759451,-100000000000000.0,Baetidae,0.1763173475612973,1.0,714146,9759451,-100000000000000.0,12,0.1763173475612973,1
759,64,704692,9826022,-100000000000000.0,Baetidae,0.0,1.0,704692,9826022,-100000000000000.0,0,0.0,0
771,65,655357,9911902,-100000000000000.0,Baetidae,0.10257554035559814,1.0,655357,9911902,-100000000000000.0,0,0.10257554035559814,0
782,66,642612,9903353,-100000000000000.0,Baetidae,0.09221374809961415,1.0,642612,9903353,-100000000000000.0,0,0.09221374809961415,0
794,67,704692,9826022,-100000000000000.0,Baetidae,0.0,1.0,704692,9826022,-100000000000000.0,0,0.0,0
806,68,586175,9801104,-100000000000000.0,Baetidae,0.0,1.0,586175,9801104,-100000000000000.0,0,0.0,0
818,69,639213,9900945,-100000000000000.0,Baetidae,0.05205528153693917,1.0,639213,9900945,-100000000000000.0,0,0.05205528153693917,0
830,70,584703,9819470,-100000000000000.0,Baetidae,0.09092598142366139,1.0,584703,9819470,-100000000000000.0,0,0.09092598142366139,0
842,71,639139,9901583,-100000000000000.0,Baetidae,0.0967628479294111,1.0,639139,9901583,-100000000000000.0,0,0.0967628479294111,0
854,72,677242,9944586,-100000000000000.0,Baetidae,0.18674252136088793,1.0,677242,9944586,-100000000000000.0,0,0.18674252136088793,0
