Criterion,Value
Sp,0.8214285714285714
AIC,52.5032477844
Kappa,0.174757281553
TSS,0.1808035714285714
SSE,58.2163114817
threshold,0.05
CCI,0.575
K,24
N,120
Sn,0.359375
AUC,0.595424107143
BIC,114.899801827
